POINT_X,POINT_Y,Northing,Easting,CellName,Temp_Label,region_n_1,Shape_Leng,Shape_Area,Region,ID,Abbrev
-122.26287702200,37.87330299000,"57","42","N-57 , E-42",LED-15,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-15,LED
-122.26287702200,37.87330299000,"57","42","N-57 , E-42",LED-15,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-15,LED
-122.26357519100,37.87329316180,"57","40","N-57 , E-40",LED-509,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-509,LED
-122.26357519100,37.87329316180,"57","40","N-57 , E-40",LED-509,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-509,LED
-122.26159445200,37.87332837080,"57","46","N-57 , E-46",LED-699,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-699,LED
-122.26159445200,37.87332837080,"57","46","N-57 , E-46",LED-699,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-699,LED
-122.26078535400,37.87334049890,"57","48","N-57 , E-48",LED-750,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-750,LED
-122.26078535400,37.87334049890,"57","48","N-57 , E-48",LED-750,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-750,LED
-122.26277473700,37.87332846330,"57","42","N-57 , E-42",LED-17,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-17,LED
-122.26277473700,37.87332846330,"57","42","N-57 , E-42",LED-17,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-17,LED
-122.26318926100,37.87333353090,"57","41","N-57 , E-41",LED-898,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-898,LED
-122.26318926100,37.87333353090,"57","41","N-57 , E-41",LED-898,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-898,LED
-122.25664157900,37.87343401340,"57","60","N-57 , E-60",LED-163,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-163,LED
-122.25664157900,37.87343401340,"57","60","N-57 , E-60",LED-163,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-163,LED
-122.26200929400,37.87335629240,"57","45","N-57 , E-45",HS-2,Region 5,8503.75566012000,1800889.11036999989,Region 5,HS-2,HS
-122.26200929400,37.87335629240,"57","45","N-57 , E-45",HS-2,Region 5,8503.75566012000,1800889.11036999989,Region 5,HS-2,HS
-122.25996211100,37.87338706140,"57","51","N-57 , E-51",LED-758,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-758,LED
-122.25996211100,37.87338706140,"57","51","N-57 , E-51",LED-758,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-758,LED
-122.26590715600,37.87331535150,"57","33","N-57 , E-33",LED-887,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-887,LED
-122.26590715600,37.87331535150,"57","33","N-57 , E-33",LED-887,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-887,LED
-122.25824644600,37.87343109090,"57","55","N-57 , E-55",LED-604,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-604,LED
-122.25824644600,37.87343109090,"57","55","N-57 , E-55",LED-604,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-604,LED
-122.26391924000,37.87334714810,"57","39","N-57 , E-39",LED-240,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-240,LED
-122.26391924000,37.87334714810,"57","39","N-57 , E-39",LED-240,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-240,LED
-122.26149351400,37.87338747090,"57","46","N-57 , E-46",LED-701,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-701,LED
-122.26149351400,37.87338747090,"57","46","N-57 , E-46",LED-701,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-701,LED
-122.25702816600,37.87345619890,"57","59","N-57 , E-59",LED-322,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-322,LED
-122.25702816600,37.87345619890,"57","59","N-57 , E-59",LED-322,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-322,LED
-122.26246872800,37.87337570020,"57","43","N-57 , E-43",LED-1,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1,LED
-122.26246872800,37.87337570020,"57","43","N-57 , E-43",LED-1,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1,LED
-122.26569265800,37.87333355280,"57","34","N-57 , E-34",LED-889,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-889,LED
-122.26569265800,37.87333355280,"57","34","N-57 , E-34",LED-889,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-889,LED
-122.26552902600,37.87335739580,"57","34","N-57 , E-34",LED-1087,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1087,LED
-122.26552902600,37.87335739580,"57","34","N-57 , E-34",LED-1087,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-1087,LED
-122.26436982400,37.87338124730,"57","38","N-57 , E-38",LED-919,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-919,LED
-122.26436982400,37.87338124730,"57","38","N-57 , E-38",LED-919,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-919,LED
-122.26083092600,37.87344551010,"57","48","N-57 , E-48",LED-692,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-692,LED
-122.26083092600,37.87344551010,"57","48","N-57 , E-48",LED-692,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-692,LED
-122.25899015700,37.87347667330,"57","53","N-57 , E-53",LED-609,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-609,LED
-122.25899015700,37.87347667330,"57","53","N-57 , E-53",LED-609,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-609,LED
-122.25574638700,37.87353098040,"57","63","N-57 , E-63",LED-266,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-266,LED
-122.25574638700,37.87353098040,"57","63","N-57 , E-63",LED-266,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-266,LED
-122.26374615200,37.87341785470,"57","40","N-57 , E-40",LED-164,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-164,LED
-122.26374615200,37.87341785470,"57","40","N-57 , E-40",LED-164,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-164,LED
-122.26186560300,37.87345195870,"57","45","N-57 , E-45",LED-943,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-943,LED
-122.26186560300,37.87345195870,"57","45","N-57 , E-45",LED-943,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-943,LED
-122.25749679300,37.87351809750,"57","58","N-57 , E-58",LED-152,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-152,LED
